# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
 100  0.000000  0.000000  0.120000  0.150000  0.130000  0.010000  0.000000  0.130000  0.150000  0.130000  0.000000  0.000000  0.140000  0.120000  0.150000  
  200  0.000000  0.000000  0.130000  0.140000  0.120000  0.010000  0.000000  0.130000  0.160000  0.130000  0.010000  0.000000  0.120000  0.150000  0.150000  
  300  0.000000  0.000000  0.150000  0.130000  0.140000  0.010000  0.000000  0.140000  0.150000  0.140000  0.010000  0.000000  0.150000  0.140000  0.160000  
  400  0.010000  0.000000  0.140000  0.160000  0.160000  0.010000  0.000000  0.140000  0.140000  0.140000  0.020000  0.000000  0.140000  0.150000  0.140000  
  500  0.010000  0.000000  0.140000  0.130000  0.150000  0.020000  0.000000  0.140000  0.150000  0.170000  0.010000  0.000000  0.150000  0.130000  0.150000  
  600  0.010000  0.000000  0.140000  0.150000  0.140000  0.020000  0.000000  0.130000  0.140000  0.150000  0.020000  0.000000  0.160000  0.140000  0.180000  
  700  0.010000  0.000000  0.140000  0.130000  0.150000  0.020000  0.000000  0.150000  0.130000  0.150000  0.020000  0.000000  0.150000  0.130000  0.140000  
  800  0.010000  0.000000  0.140000  0.140000  0.150000  0.030000  0.000000  0.160000  0.130000  0.140000  0.030000  0.000000  0.140000  0.140000  0.130000  
  900  0.010000  0.000000  0.140000  0.140000  0.160000  0.020000  0.000000  0.160000  0.120000  0.130000  0.040000  0.000000  0.140000  0.150000  0.130000  
  1000  0.010000  0.000000  0.150000  0.140000  0.140000  0.030000  0.000000  0.150000  0.130000  0.120000  0.030000  0.000000  0.150000  0.150000  0.150000  
 
